town,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,age_group_15_24,age_group_25_34,age_group_35_44,age_group_45_54,age_group_55_64,age_group_65+,age_group_15_under,population,elderly_pop,future_elderly_pop,3_room_median_price,4_room_median_price,5_room_median_price,exec_median_price
Ang Mo Kio,11.838137472283814,1984.1906873614191,387,127,10,130,20,16,51309,0,957,24440,14703,6150,503,0,302,1314,2855,73,12,9.7,10.3,12.5,13.6,17.9,24.6,11.4,126300.0,31000.0,22600.0,287100.0,443000.0,698075.0,599152.380952381
Bedok,11.573692551505546,1987.876386687797,530,160,9,153,36,26,64415,0,1520,23000,21971,10773,2718,0,263,2604,1551,15,0,13.6,13.6,9.0,13.9,18.5,21.8,9.6,174900.0,38200.0,32300.0,290500.0,406250.0,584575.0,724000.0
Bishan,11.773381294964029,1988.8992805755395,230,100,2,57,19,4,19676,0,29,2352,9359,5716,1567,93,147,168,240,5,0,13.3,10.0,12.9,14.2,19.9,19.9,9.8,55600.0,10400.0,18800.0,305292.42424242425,554625.0,752875.0,599152.380952381
Bukit Batok,11.695568400770712,1995.077071290944,434,116,1,130,35,29,46982,0,3534,11985,18823,7964,2734,0,221,919,781,21,0,13.5,11.3,11.5,16.3,18.1,17.2,12.1,107200.0,14900.0,11400.0,262000.0,378350.0,521500.0,611750.0
Bukit Merah,13.562610229276896,1984.8183421516756,429,155,14,120,52,45,54153,253,1510,15782,17192,9622,47,0,548,4412,4601,185,1,9.0,9.6,12.8,14.1,16.6,25.7,12.2,134700.0,34700.0,22500.0,338375.0,663125.0,778700.0,599152.380952381
Bukit Panjang,13.40552995391705,1997.3663594470047,346,43,1,95,52,27,37098,0,1167,3867,17224,10628,3381,0,330,324,176,1,0,13.5,14.4,10.3,16.4,17.2,14.8,13.4,114800.0,18400.0,19300.0,278000.0,364625.0,468250.0,593333.3333333334
Bukit Timah,10.935483870967742,1986.8064516129032,27,6,1,11,3,0,2554,0,57,439,920,683,380,0,75,0,0,0,0,11.9,11.1,10.6,12.0,20.0,23.0,11.4,7600.0,1700.0,1500.0,305292.42424242425,466875.0,562773.1884057971,599152.380952381
Central Area,16.801980198019802,1982.4356435643565,79,55,7,34,9,4,12001,0,345,4205,3424,904,6,0,0,2075,971,57,14,8.7,8.3,12.8,15.2,16.0,26.6,12.4,30300.0,8000.0,4800.0,404000.0,860000.0,562773.1884057971,599152.380952381
Choa Chu Kang,12.298299845440495,1997.307573415765,529,121,3,147,68,34,50171,0,986,2664,23993,15952,4762,0,435,565,813,1,0,19.0,12.1,12.1,16.6,15.9,11.2,13.1,167200.0,24000.0,28800.0,268000.0,334375.0,396000.0,534375.0
Clementi,13.97338403041825,1989.638783269962,213,73,5,71,14,13,29709,0,367,12747,10755,4256,625,0,0,474,467,18,0,11.0,11.1,13.1,12.7,16.3,24.1,11.7,70200.0,17000.0,11400.0,315350.0,575375.0,635500.0,599152.380952381
Geylang,10.881401617250674,1987.8247978436657,301,97,10,92,22,19,34306,0,1570,12092,12525,3626,832,0,298,879,2177,307,0,10.4,11.5,12.6,14.8,14.6,24.6,11.5,75400.0,18500.0,11000.0,286325.0,492375.0,617133.3333333334,599152.380952381
Hougang,11.391691394658753,1993.0237388724036,592,163,2,157,44,25,57557,0,1695,10944,27306,11210,4311,0,569,668,794,60,0,13.5,11.0,13.4,16.9,16.6,16.5,12.1,163700.0,22750.0,26900.0,282000.0,382000.0,474000.0,666250.0
Jurong East,12.778195488721805,1988.0,231,79,3,65,16,7,24122,0,353,7039,8188,5925,1871,0,92,433,191,30,0,12.4,13.3,12.5,14.1,16.6,21.9,9.2,68400.0,13000.0,11300.0,279750.0,411000.0,537450.0,599152.380952381
Jurong West,11.96345514950166,1994.873754152824,742,176,5,209,81,68,76580,0,1775,12061,30192,22492,6507,0,577,813,1442,721,0,11.8,9.7,15.0,16.2,15.8,14.7,16.8,112516.0,33400.0,35800.0,249500.0,353750.0,434500.0,542750.0
Kallang/Whampoa,12.98477157360406,1985.8781725888325,303,103,8,92,31,28,40580,0,814,14234,12800,5478,505,0,307,4401,2022,19,0,8.2,10.6,11.4,13.8,17.0,27.0,12.0,93800.0,24100.0,15600.0,304500.0,540750.0,715500.0,599152.380952381
Marine Parade,13.192307692307692,1978.3589743589744,59,19,2,21,7,4,7857,0,26,3026,1798,1682,0,0,0,0,1324,1,0,6.3,7.1,15.6,11.6,13.3,34.1,12.0,18700.0,6400.0,2500.0,400000.0,466875.0,562773.1884057971,599152.380952381
Pasir Ris,10.578947368421053,1993.3815789473683,431,85,3,79,46,42,29654,0,313,490,11641,9379,7460,0,150,176,44,1,0,19.8,12.7,11.4,16.7,17.1,9.4,12.9,110400.0,17000.0,19700.0,305292.42424242425,406975.0,477000.0,617500.0
Punggol,13.758953168044076,2011.2148760330579,544,50,0,163,70,91,60833,0,5967,6255,26334,18491,1126,0,392,1366,902,0,0,7.0,20.8,22.6,9.7,8.7,5.9,25.3,140600.0,8400.0,12200.0,348125.0,447875.0,437625.0,545000.0
Queenstown,15.319526627218934,1990.4940828402366,242,60,3,77,36,39,34939,0,1462,13646,10431,4338,356,0,395,575,2165,1516,55,7.8,12.1,15.0,10.9,17.7,25.4,11.1,76000.0,19300.0,13400.0,342850.0,718875.0,843500.0,599152.380952381
Sembawang,11.867816091954023,2005.8477011494253,258,33,1,90,43,43,30330,0,2610,1705,12250,9056,2871,0,0,955,883,0,0,14.6,14.4,15.6,14.7,15.4,7.1,18.2,76700.0,5500.0,11800.0,305292.42424242425,336225.0,385225.0,473500.0
Sengkang,13.778888888888888,2006.5366666666666,669,70,1,193,107,110,76265,0,5305,4800,33596,25710,4463,0,704,958,729,0,0,11.9,14.6,15.9,16.1,10.2,10.1,21.2,208400.0,21200.0,21200.0,333333.3333333333,406750.0,440825.0,551700.0
Serangoon,10.540856031128405,1988.2451361867704,232,65,1,62,14,3,21631,0,163,4526,10231,3760,2365,0,64,272,247,3,0,13.3,9.9,13.0,15.3,18.2,21.0,9.3,61900.0,11000.0,11000.0,313500.0,441500.0,518625.0,702500.0
Tampines,10.388015717092339,1995.771119842829,883,186,2,222,68,32,82465,0,1097,14814,35678,21798,5749,100,637,1615,955,22,0,12.7,14.3,12.7,11.9,18.4,14.1,15.9,222300.0,31000.0,41000.0,330250.0,427750.0,533500.0,676225.0
Toa Payoh,13.212860310421286,1991.8137472283813,357,99,7,105,39,33,44868,0,1641,16958,14375,6788,854,0,348,992,2844,67,1,12.6,8.1,12.3,14.5,16.4,25.4,10.7,95000.0,25300.0,15900.0,273500.0,589000.0,832750.0,599152.380952381
Woodlands,10.774157303370787,1996.3460674157304,717,122,6,198,103,55,71947,0,2212,7294,30388,21125,6191,0,809,2274,1543,14,97,18.7,10.5,14.1,17.3,12.7,10.5,16.2,227600.0,19198.0,18108.0,263475.0,327700.0,404850.0,562750.0
Yishun,10.361147327249022,1995.6466753585398,686,142,2,188,34,36,69601,0,3828,16288,32639,11194,2567,174,699,1259,933,20,0,13.9,12.7,13.3,15.0,16.2,13.4,15.5,185200.0,24800.0,30000.0,266000.0,342750.0,455825.0,586500.0
